Voting ID,Voting Date,Voting PDF URL,Expected number of Target Votes
81-1,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_1,444
81-2,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_2,453
81-3,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_3,439
81-4,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_4,453
81-5,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_5,445
81-6,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_6,450
81-7,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_7,454
81-8,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_8,449
81-9,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_9,445
81-10,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_10,442
81-11,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_11,443
81-12,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_12,443
81-13,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_13,452
81-14,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_14,443
81-15,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_15,451
81-16,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_16,451
81-17,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_17,439
81-18,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_18,445
81-19,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_19,449
81-20,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_20,448
81-21,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_21,434
81-22,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_22,438
81-23,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_23,448
81-24,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_24,443
81-25,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_25,437
81-26,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_26,439
81-27,16.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_27,440
81-28,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_28,444
81-29,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_29,449
81-30,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_30,442
81-31,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_31,442
81-32,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_32,447
81-33,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_33,446
81-34,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_34,450
81-35,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_35,451
81-36,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_36,443
81-37,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_37,449
81-38,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_38,451
81-39,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_39,441
81-40,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_40,450
81-41,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_41,439
81-42,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_42,446
81-43,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_43,449
81-44,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_44,439
81-45,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_45,446
81-46,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_46,445
81-47,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_47,446
81-48,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_48,446
81-49,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_49,449
